"Phase","Day","Focus chính","Output/Pipeline node"
"Foundations","1","Python, NumPy, Pandas, Stats, Viz","Repo nền tảng + Mini-Project 1."
"Foundations","2","Regression, Eval, Tuning, Trees","House Price project + saved models."
"Foundations","3","Classification, Metrics, XGBoost, SVM","Classification project + model comparison."
"Foundations","4","Pipelines, PCA, Clustering, Ensembles, Recommender, Streamlit","End-to-end ML pipeline + app."
"Doc Intelligence","5","Architecture, PDF parsing, HF models, Model Council, Playground","Document Intelligence MVP + tests."
"Doc Intelligence","6","Advanced extraction, coords, error handling, RAG prep","RAG-ready Doc Intelligence system."
"LLM/RAG","7","LLM APIs, Prompt Engineering","Prompted LLM layer trên Doc Intelligence."
"LLM/RAG","8","RAG Systems","Full RAG pipeline over documents."
"Agents","9","AI Agents, Multi-Agent orchestration","Multi-agent doc processing system."
"Deploy","10","Deployment, Portfolio","Production deployment + portfolio."